epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.762,1.66961,2.6842,0.21444,1.6275,1.67817,0.93991,0.7836,0.89136,0.59877,0.94214,0.78545,0.89832,0.81545,1.17739,0.65086,0.01344,0.80482,1.35891,1.66359e-05,1.66359e-05,0.0667448
2,917.454,1.53934,2.38481,0.1964,1.54576,1.55978,0.80192,0.79619,0.86893,0.58934,0.82763,0.79777,0.89371,0.81942,1.14942,0.55688,0.01186,0.84905,1.33207,3.30828e-05,3.30828e-05,0.0334279
3,1365.31,1.47116,2.20392,0.18971,1.50192,1.51308,0.89017,0.8195,0.91633,0.62501,0.8969,0.82468,0.92486,0.85827,1.13326,0.48258,0.00937,0.78418,1.31401,4.93097e-05,4.93097e-05,0.00011081
4,1813.75,1.41035,2.02232,0.17635,1.44855,1.47469,0.82637,0.82562,0.88087,0.60483,0.85003,0.8256,0.91089,0.85138,1.09567,0.45207,0.00883,0.79962,1.29201,4.901e-05,4.901e-05,4.901e-05
5,2261.95,1.37742,1.90351,0.173,1.41239,1.44894,0.81323,0.83581,0.88137,0.59863,0.85699,0.83952,0.91628,0.85443,1.10689,0.45035,0.00812,0.79047,1.29259,4.868e-05,4.868e-05,4.868e-05
6,2709.5,1.35555,1.85884,0.16951,1.39434,1.43152,0.841,0.84879,0.89738,0.61666,0.87434,0.86178,0.93322,0.87225,1.08324,0.42586,0.00793,0.76546,1.27932,4.835e-05,4.835e-05,4.835e-05
7,3156.04,1.33691,1.76089,0.16257,1.36911,1.42409,0.81117,0.79963,0.85895,0.58802,0.83919,0.83117,0.90956,0.85351,1.09747,0.41854,0.00788,0.81688,1.29143,4.802e-05,4.802e-05,4.802e-05
8,3603.77,1.31282,1.72245,0.16282,1.35522,1.40804,0.8256,0.81262,0.85494,0.5858,0.86119,0.83859,0.92037,0.86159,1.07134,0.40751,0.00908,0.79737,1.27446,4.769e-05,4.769e-05,4.769e-05
9,4051.89,1.30125,1.69222,0.15885,1.33403,1.3917,0.88473,0.84018,0.91935,0.64434,0.89911,0.8692,0.94548,0.88842,1.06846,0.40285,0.00893,0.73774,1.27055,4.736e-05,4.736e-05,4.736e-05
10,4501.39,1.28085,1.6413,0.15735,1.31538,1.38349,0.89039,0.84394,0.91667,0.64113,0.91007,0.87304,0.94643,0.88951,1.05416,0.40244,0.00904,0.73793,1.26661,4.703e-05,4.703e-05,4.703e-05
11,4949.25,1.28135,1.63947,0.15545,1.31076,1.38149,0.86837,0.81354,0.88611,0.61101,0.90023,0.85622,0.93887,0.88225,1.05526,0.38731,0.00988,0.77208,1.26713,4.67e-05,4.67e-05,4.67e-05
12,5397.17,1.25804,1.58385,0.15319,1.28669,1.36704,0.87559,0.83302,0.90519,0.63467,0.90757,0.84879,0.93913,0.88306,1.05234,0.38575,0.0096,0.74936,1.26478,4.637e-05,4.637e-05,4.637e-05
13,5845.34,1.25957,1.57137,0.15208,1.27875,1.37283,0.85113,0.85158,0.88855,0.61612,0.87928,0.88033,0.93733,0.88116,1.03787,0.37842,0.00876,0.77056,1.25607,4.604e-05,4.604e-05,4.604e-05
14,6292.94,1.24984,1.54713,0.15489,1.27848,1.36703,0.89248,0.84137,0.92444,0.64719,0.91905,0.86642,0.95149,0.89609,1.03758,0.37431,0.00775,0.72901,1.25669,4.571e-05,4.571e-05,4.571e-05
15,6739.99,1.23185,1.52466,0.14709,1.25985,1.35081,0.88832,0.84855,0.92421,0.65312,0.90485,0.87336,0.95178,0.89984,1.03215,0.36412,0.00833,0.72095,1.25383,4.538e-05,4.538e-05,4.538e-05
16,7186.03,1.22958,1.50431,0.14472,1.25216,1.34618,0.88687,0.85815,0.91789,0.64531,0.90659,0.88404,0.94717,0.89396,1.03217,0.3643,0.00818,0.72966,1.25415,4.505e-05,4.505e-05,4.505e-05
17,7634.4,1.21747,1.46841,0.14744,1.24516,1.34511,0.87811,0.84416,0.91587,0.6456,0.88615,0.88868,0.94696,0.89669,1.02633,0.36262,0.00843,0.72413,1.24803,4.472e-05,4.472e-05,4.472e-05
18,8082.83,1.21374,1.47913,0.14547,1.23912,1.33895,0.90142,0.85343,0.92828,0.65133,0.91995,0.87755,0.94904,0.89899,1.02546,0.35848,0.00862,0.71273,1.24922,4.439e-05,4.439e-05,4.439e-05
