epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1341.95,1.82908,3.17636,0.49271,1.87858,1.9522,0.90418,0.7551,0.88887,0.56853,0.94253,0.81076,0.9292,0.82706,1.23561,0.58375,0.04215,0.9079,1.44681,0.00999538,0.00333179,0.00999538,0.00333179,0.00999538,0.00333179,0.00999538,0.00333179
2,2553.3,1.50483,2.27741,0.31589,1.57704,1.60052,0.92452,0.73858,0.8938,0.55954,0.92944,0.75417,0.90711,0.80179,1.27482,0.61405,0.03764,0.95765,1.49456,0.0198634,0.00662114,0.0198634,0.00662114,0.0198634,0.00662114,0.0198634,0.00662114
3,3702.79,1.4989,2.21773,0.26229,1.58631,1.57976,0.91855,0.71137,0.86238,0.50049,0.94201,0.75342,0.89524,0.77931,1.38409,0.66058,0.04663,1.01411,1.58172,0.0295994,0.00986648,0.0295994,0.00986648,0.0295994,0.00986648,0.0295994,0.00986648
4,4864.69,1.49459,2.16664,0.23978,1.57782,1.56715,0.97365,0.71707,0.88114,0.51826,0.97861,0.72161,0.88985,0.79916,1.34932,0.56489,0.02971,0.97339,1.53845,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,6047.41,1.43092,1.95738,0.21852,1.51095,1.523,0.9654,0.77365,0.90928,0.54778,0.97173,0.79702,0.9347,0.83855,1.31456,0.53579,0.02783,0.92084,1.49923,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,7240.74,1.38585,1.82082,0.20228,1.45617,1.48851,0.95569,0.76902,0.91933,0.57308,0.95972,0.77364,0.92687,0.84652,1.27647,0.46549,0.03153,0.91785,1.47942,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,8477.48,1.35072,1.70145,0.19072,1.41372,1.45792,0.78957,0.76345,0.86695,0.5433,0.80823,0.80056,0.89384,0.81459,1.24325,0.43438,0.01953,0.93762,1.4579,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,9699.24,1.31836,1.62176,0.18285,1.38315,1.43577,0.92803,0.74164,0.90002,0.55861,0.97111,0.8108,0.94091,0.86586,1.25541,0.43245,0.02227,0.86679,1.45563,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,10871.7,1.29996,1.56493,0.17568,1.35947,1.41805,0.83487,0.74304,0.87696,0.54056,0.8248,0.77458,0.90448,0.83592,1.25388,0.41442,0.01922,0.91002,1.44461,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,12079.6,1.282,1.50854,0.16914,1.33664,1.40584,0.90578,0.78015,0.91796,0.58854,0.90599,0.78672,0.92513,0.85992,1.21516,0.39565,0.01579,0.85808,1.42289,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,13269.5,1.25967,1.46444,0.16534,1.32391,1.39267,0.9495,0.74994,0.91007,0.5756,0.95514,0.77551,0.92779,0.86759,1.19002,0.37828,0.02026,0.86698,1.40171,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,14434.1,1.25041,1.43281,0.16341,1.30616,1.3815,0.88105,0.79015,0.91601,0.58646,0.89781,0.82317,0.93223,0.87158,1.18643,0.36378,0.01532,0.8812,1.39865,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,15661.5,1.23954,1.40028,0.15886,1.28859,1.37127,0.92585,0.76252,0.913,0.57984,0.91104,0.79803,0.93193,0.87507,1.18183,0.35033,0.01515,0.83785,1.39459,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,16929.5,1.22939,1.34821,0.15603,1.28012,1.36674,0.90457,0.7562,0.9074,0.57597,0.88576,0.7885,0.92652,0.87145,1.17561,0.33797,0.01623,0.82405,1.39146,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,18280.3,1.22705,1.36213,0.15251,1.27289,1.36174,0.91537,0.77257,0.91819,0.5818,0.90921,0.79499,0.93186,0.87698,1.16217,0.33423,0.01246,0.82109,1.38514,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,19552.1,1.21489,1.3326,0.15071,1.26483,1.352,0.8912,0.77507,0.92246,0.58743,0.89498,0.80638,0.93517,0.88628,1.1608,0.32684,0.01465,0.80635,1.37956,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,20727.8,1.19684,1.30459,0.14896,1.24654,1.34262,0.87639,0.75788,0.90802,0.57895,0.87223,0.79592,0.92707,0.87632,1.15087,0.32102,0.01251,0.80486,1.37848,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,21857.2,1.19482,1.28394,0.14603,1.24283,1.33549,0.88671,0.78293,0.92265,0.58959,0.88761,0.81818,0.93807,0.88664,1.1418,0.31781,0.01144,0.78929,1.37101,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,22991.1,1.18908,1.26398,0.14636,1.2361,1.33533,0.81891,0.79592,0.91463,0.58732,0.8441,0.84045,0.9303,0.88221,1.13923,0.31695,0.01198,0.79153,1.36662,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,24083.6,1.1824,1.25538,0.14234,1.2278,1.32523,0.85522,0.79963,0.92006,0.58971,0.85419,0.82375,0.93419,0.88721,1.13037,0.30935,0.01263,0.78418,1.36088,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,25169.8,1.1705,1.2344,0.14175,1.21899,1.32215,0.81845,0.79406,0.91087,0.58566,0.85349,0.83763,0.93113,0.88475,1.13442,0.30693,0.01223,0.78577,1.36539,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,26253.2,1.17167,1.23268,0.14088,1.21958,1.32056,0.80619,0.80891,0.91259,0.58536,0.8348,0.8423,0.92873,0.88216,1.12966,0.3043,0.01142,0.78779,1.36095,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,27335.8,1.16351,1.21286,0.14024,1.20839,1.31232,0.81824,0.80148,0.91362,0.58502,0.84295,0.84145,0.93209,0.88692,1.12374,0.3028,0.01057,0.78171,1.35978,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,28421.8,1.15709,1.19681,0.13713,1.20384,1.30929,0.8041,0.80334,0.9107,0.58445,0.83289,0.84416,0.92887,0.88399,1.11881,0.30107,0.0101,0.77645,1.35499,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,29507.9,1.15469,1.2007,0.13792,1.20115,1.30674,0.80057,0.80432,0.91316,0.58561,0.82481,0.84289,0.92859,0.88253,1.11969,0.3002,0.00983,0.77723,1.35459,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,30591.6,1.14879,1.1763,0.13612,1.19595,1.3035,0.80058,0.80241,0.91413,0.58755,0.82533,0.83952,0.9296,0.8857,1.12138,0.30044,0.00943,0.7691,1.35527,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,31675.1,1.14031,1.16172,0.13418,1.1873,1.29858,0.81245,0.81076,0.91718,0.59003,0.83411,0.84416,0.93259,0.88934,1.11701,0.29825,0.0089,0.76452,1.35267,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,32759.4,1.1378,1.17395,0.1348,1.19002,1.2972,0.7975,0.81076,0.91579,0.59095,0.82621,0.85114,0.93215,0.88874,1.11497,0.29748,0.00881,0.76289,1.35055,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,33843.1,1.13756,1.15448,0.13384,1.18123,1.29668,0.79441,0.81354,0.91693,0.59075,0.81944,0.85529,0.93403,0.89023,1.11424,0.29686,0.00852,0.76221,1.35012,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,34926.5,1.12771,1.13209,0.13238,1.17693,1.29141,0.791,0.81447,0.91553,0.59162,0.81755,0.86046,0.93346,0.89023,1.1124,0.29766,0.00848,0.75911,1.34902,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,36009.1,1.1256,1.11976,0.13122,1.17119,1.29091,0.79765,0.8154,0.91862,0.59275,0.82225,0.85622,0.93412,0.8901,1.11146,0.29733,0.00879,0.75673,1.34828,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,37092.7,1.11793,1.1079,0.12981,1.16644,1.28506,0.80066,0.81597,0.91915,0.5952,0.82805,0.84876,0.93407,0.88968,1.1106,0.29672,0.00869,0.75417,1.34739,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,38177.6,1.11643,1.11449,0.12981,1.16157,1.2804,0.8083,0.80968,0.91859,0.59622,0.83012,0.84508,0.93422,0.88993,1.11021,0.2959,0.00868,0.75393,1.34763,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,39263.4,1.11299,1.10591,0.12916,1.16058,1.28174,0.80363,0.80798,0.91759,0.59524,0.82808,0.84416,0.93378,0.89047,1.10961,0.29523,0.00861,0.75179,1.34755,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,40351.3,1.10696,1.08843,0.12879,1.15835,1.27868,0.80086,0.80891,0.91793,0.59554,0.82302,0.84972,0.93426,0.89149,1.10912,0.29491,0.00854,0.75238,1.34745,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,41439.3,1.10846,1.09645,0.12764,1.16018,1.278,0.7997,0.80983,0.91714,0.59545,0.82114,0.85158,0.93399,0.89173,1.10779,0.29393,0.00858,0.7511,1.34625,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,42525.8,1.10406,1.0875,0.12687,1.15031,1.27253,0.80143,0.81076,0.91715,0.59577,0.82127,0.85249,0.93476,0.89181,1.10744,0.29293,0.00852,0.75002,1.34608,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,43613.8,1.09833,1.08046,0.12579,1.15059,1.2715,0.79701,0.81223,0.91713,0.59531,0.82542,0.85527,0.93524,0.89295,1.10684,0.29206,0.00854,0.74677,1.34551,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,44702.6,1.09813,1.07634,0.12532,1.14882,1.26646,0.79047,0.81169,0.91618,0.5942,0.81987,0.86135,0.9358,0.89279,1.10658,0.29098,0.00853,0.74562,1.34464,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,45793.9,1.09677,1.07075,0.12518,1.14719,1.26869,0.78782,0.81262,0.91601,0.59531,0.817,0.86364,0.93581,0.89425,1.10501,0.28985,0.00854,0.74491,1.34363,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,46885.5,1.09012,1.06697,0.12451,1.14144,1.26388,0.7808,0.81262,0.9148,0.59509,0.81694,0.86549,0.93545,0.89311,1.10348,0.28909,0.00849,0.74566,1.34209,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,1235.05,1.0844,1.04481,0.12488,1.13696,1.26345,0.77536,0.81633,0.91481,0.59493,0.80789,0.86603,0.93558,0.89343,1.1038,0.28894,0.0085,0.74417,1.34194,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,2410.12,1.09963,1.07178,0.12722,1.14647,1.27288,0.77438,0.81818,0.91476,0.59629,0.80666,0.86696,0.93552,0.89322,1.10266,0.28839,0.00832,0.74338,1.34142,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3664.87,1.09948,1.07404,0.12596,1.14903,1.27278,0.77398,0.81633,0.91386,0.59564,0.80678,0.86827,0.93502,0.89332,1.10185,0.28812,0.00825,0.74446,1.34131,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,4891.34,1.09408,1.06158,0.12521,1.14371,1.26713,0.7642,0.81633,0.91287,0.59498,0.80503,0.86456,0.93498,0.89236,1.10235,0.28835,0.00842,0.74456,1.34333,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,6074.95,1.09362,1.07045,0.12721,1.14339,1.26781,0.76601,0.81076,0.91212,0.59417,0.80506,0.86642,0.93458,0.8925,1.10183,0.2884,0.00853,0.74439,1.34317,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,7234.04,1.09158,1.05865,0.12327,1.14216,1.26729,0.76888,0.81165,0.913,0.59422,0.80662,0.86735,0.93493,0.89228,1.10043,0.28778,0.00816,0.74262,1.34056,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,8389.48,1.08784,1.04838,0.12251,1.13801,1.26441,0.76796,0.81354,0.9136,0.59529,0.80501,0.86935,0.93536,0.89318,1.0993,0.28734,0.00806,0.74031,1.33979,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,9485.09,1.0828,1.03712,0.12338,1.13701,1.26204,0.76745,0.81725,0.91364,0.59542,0.80276,0.87213,0.93537,0.89352,1.09811,0.28638,0.00796,0.74013,1.33919,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,10579.8,1.0783,1.03001,0.12126,1.13477,1.25656,0.76385,0.81911,0.9134,0.5965,0.80125,0.87199,0.93539,0.89398,1.09646,0.28582,0.00784,0.73939,1.33784,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,11749.9,1.07471,1.01922,0.12073,1.13015,1.25437,0.76365,0.81818,0.91278,0.59542,0.80044,0.87067,0.93516,0.89333,1.0948,0.28496,0.00781,0.73868,1.33706,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,12889.2,1.07185,1.00917,0.11954,1.12594,1.25415,0.75702,0.82096,0.91215,0.59583,0.7957,0.8692,0.93512,0.8935,1.09469,0.28426,0.0078,0.738,1.33644,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,14087.1,1.0722,1.00648,0.12026,1.12318,1.25357,0.76143,0.82004,0.91226,0.59673,0.79709,0.8692,0.93522,0.89356,1.093,0.28376,0.00771,0.73731,1.3353,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,15222.1,1.06869,1.00855,0.11984,1.11639,1.24967,0.76236,0.81818,0.91212,0.59738,0.79385,0.8716,0.93506,0.89362,1.09173,0.28238,0.0076,0.73687,1.33415,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,16418.2,1.0666,0.98667,0.11974,1.11758,1.25084,0.75994,0.81911,0.91212,0.59882,0.79286,0.86827,0.93555,0.8944,1.0904,0.28176,0.00753,0.73563,1.33371,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,17641.7,1.07204,1.00547,0.11863,1.11809,1.2501,0.75717,0.81818,0.91172,0.5986,0.79374,0.87291,0.93614,0.89565,1.08866,0.28116,0.00751,0.73483,1.33215,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,18837.7,1.06169,0.99578,0.11879,1.11563,1.24741,0.75736,0.81633,0.91139,0.5974,0.79251,0.86827,0.93614,0.89644,1.08734,0.27989,0.00744,0.7348,1.33105,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,20023.6,1.05768,0.98651,0.11811,1.10632,1.24583,0.7575,0.81354,0.91037,0.59693,0.79473,0.86549,0.93617,0.89669,1.0855,0.2792,0.00716,0.73286,1.32994,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,21208.7,1.05624,0.97682,0.11549,1.10794,1.24257,0.75546,0.81633,0.90989,0.59637,0.79184,0.86827,0.93543,0.89568,1.08402,0.27927,0.00702,0.73154,1.32911,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,1075.76,1.03966,0.93577,0.11524,1.09519,1.23141,0.7551,0.81447,0.90974,0.59659,0.7905,0.86827,0.93531,0.89597,1.0867,0.278,0.00692,0.7301,1.3269,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,2088.16,1.04756,0.96675,0.11826,1.10178,1.23694,0.759,0.81169,0.90974,0.59722,0.79305,0.86735,0.93488,0.8959,1.08625,0.27725,0.0069,0.72899,1.32655,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,3111.4,1.05135,0.96722,0.1164,1.10101,1.23713,0.75768,0.81725,0.90975,0.59717,0.79449,0.86735,0.93514,0.89634,1.08633,0.27692,0.00682,0.72758,1.32671,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4110.75,1.04619,0.96607,0.11539,1.09797,1.23299,0.76183,0.81601,0.90984,0.59772,0.79272,0.86918,0.93539,0.89678,1.08504,0.27629,0.00686,0.72618,1.32627,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,5168.25,1.04349,0.95669,0.11654,1.09379,1.2328,0.75983,0.8154,0.91013,0.59829,0.7914,0.8692,0.93612,0.89706,1.08434,0.27575,0.00684,0.7266,1.32633,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,6250.71,1.04554,0.96067,0.11524,1.09947,1.23363,0.75644,0.81725,0.91002,0.60029,0.79162,0.86642,0.93614,0.89842,1.08405,0.27464,0.00691,0.72568,1.32637,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,7326.56,1.04118,0.95914,0.11453,1.10008,1.23155,0.75505,0.81447,0.91035,0.60041,0.79113,0.86735,0.93641,0.89918,1.08245,0.27316,0.00685,0.72582,1.3257,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,8405.69,1.03485,0.94649,0.11273,1.09003,1.22648,0.75247,0.81447,0.91017,0.59902,0.7914,0.86549,0.93658,0.89912,1.08145,0.27349,0.00676,0.72493,1.32501,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,9472.67,1.03164,0.93775,0.1126,1.08512,1.22113,0.75366,0.81354,0.91054,0.59924,0.79162,0.86642,0.93704,0.90012,1.08025,0.27376,0.00673,0.72216,1.32434,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
