epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,393.806,1.81739,3.88683,0.63665,1.92944,0.02372,8.56044,0.67095,0.72171,0.75034,0.34834,0.71364,0.73191,0.80713,0.63456,1.86572,1.04569,0.38455,1.03071,0.04286,0,0.000166052,0.000166052,0.0669557
2,562.52,1.59526,2.05204,0.5219,1.51473,0.01993,4.71659,0.54345,0.7597,0.66716,0.37309,0.66682,0.74078,0.79884,0.68315,1.54471,0.63827,0.26962,0.97915,0.03345,0,0.000330522,0.000330522,0.0337869
3,732.289,1.50893,1.68211,0.37183,1.42637,0.01868,3.8329,0.90278,0.75603,0.89556,0.51649,0.90529,0.77551,0.91754,0.83075,1.48551,0.47724,0.11501,0.80783,0.0323,0,0.000492793,0.000492793,0.000615794
4,901.406,1.45642,1.46588,0.26939,1.3686,0.01803,3.25537,0.90896,0.81504,0.91718,0.52977,0.9162,0.82154,0.92922,0.83479,1.43401,0.45769,0.06201,0.75837,0.03002,0,0.0004901,0.0004901,0.0004901
5,1070.33,1.4122,1.32786,0.23482,1.32945,0.01729,2.87342,0.94488,0.79517,0.9196,0.54198,0.94796,0.8111,0.93592,0.8698,1.3988,0.39519,0.07861,0.76792,0.02921,0,0.0004868,0.0004868,0.0004868
6,1239.39,1.38287,1.2303,0.21795,1.30066,0.01686,2.58985,0.71139,0.81169,0.8225,0.47582,0.73585,0.81818,0.87528,0.81302,1.40472,0.37728,0.05165,0.83899,0.02975,0,0.0004835,0.0004835,0.0004835
7,1408.08,1.36156,1.15543,0.20493,1.28848,0.01673,2.41712,0.88325,0.78015,0.89556,0.52846,0.90466,0.79499,0.92288,0.87635,1.39461,0.33637,0.05689,0.78627,0.02926,0,0.0004802,0.0004802,0.0004802
8,1577.28,1.33473,1.10706,0.19752,1.26914,0.01632,2.2529,0.64396,0.83952,0.71267,0.41666,0.72795,0.86456,0.87338,0.82188,1.34567,0.32851,0.06326,0.88337,0.02771,0,0.0004769,0.0004769,0.0004769
9,1746.7,1.31397,1.07356,0.18907,1.25133,0.01605,2.13446,0.91933,0.8525,0.93645,0.56449,0.93134,0.86364,0.94708,0.90181,1.34736,0.30666,0.04505,0.75133,0.0288,0,0.0004736,0.0004736,0.0004736
10,1916.09,1.30452,1.03839,0.18217,1.24358,0.01584,2.01856,0.80213,0.86364,0.88979,0.54263,0.8202,0.86456,0.91926,0.87265,1.28686,0.30062,0.04498,0.80057,0.02663,0,0.0004703,0.0004703,0.0004703
