epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,468.039,1.76211,3.50657,0.61836,1.69769,0.02273,7.79745,0.48291,0.67254,0.57328,0.2762,0.62186,0.57328,0.6643,0.51485,1.80624,1.29588,0.3211,1.32834,0.04206,0,9.98155e-05,9.98155e-05,0.066828
2,731.073,1.56158,1.87735,0.45684,1.43754,0.01963,4.65165,0.59349,0.61039,0.65584,0.24371,0.68783,0.62801,0.75509,0.62074,2.16481,0.84753,0.17088,1.17978,0.05249,0,0.000198497,0.000198497,0.0335933
3,994.886,1.49091,1.53934,0.30816,1.37856,0.01867,3.7609,0.76589,0.75046,0.83854,0.49891,0.79421,0.78044,0.88322,0.81194,1.41303,0.41994,0.07639,0.87336,0.02984,0,0.000295858,0.000295858,0.000357359
4,1257.97,1.43424,1.35264,0.25033,1.33702,0.01799,3.21314,0.91469,0.82096,0.92951,0.53699,0.91336,0.82746,0.93824,0.86838,1.42685,0.40619,0.06773,0.74072,0.0307,0,0.00029406,0.00029406,0.00029406
5,1520.08,1.37694,1.20096,0.22372,1.27549,0.01706,2.81032,0.8234,0.80519,0.89828,0.53138,0.84208,0.84092,0.92173,0.8612,1.38293,0.36949,0.06234,0.777,0.02951,0,0.00029208,0.00029208,0.00029208
6,1782.73,1.3486,1.12278,0.20825,1.24186,0.0167,2.51111,0.84248,0.76901,0.89241,0.53082,0.87186,0.81633,0.91835,0.8707,1.33776,0.32748,0.05962,0.78674,0.02794,0,0.0002901,0.0002901,0.0002901
7,2044.86,1.31775,1.04511,0.19905,1.21157,0.01625,2.335,0.74235,0.78757,0.8429,0.51472,0.81996,0.83952,0.90444,0.85679,1.29832,0.31231,0.04926,0.77373,0.02685,0,0.00028812,0.00028812,0.00028812
8,2307.29,1.2949,0.97359,0.19024,1.1855,0.01601,2.13226,0.6912,0.70965,0.79609,0.45245,0.82222,0.84416,0.89041,0.84753,1.39174,0.29968,0.04798,0.82522,0.02989,0,0.00028614,0.00028614,0.00028614
9,2569.9,1.27498,0.93672,0.18327,1.16275,0.01566,1.96791,0.48538,0.93617,0.62251,0.37772,0.84583,0.83488,0.91535,0.87637,1.27375,0.28947,0.05058,0.93123,0.02624,0,0.00028416,0.00028416,0.00028416
10,2832.25,1.25538,0.90492,0.18038,1.12439,0.01545,1.83502,0.90442,0.89533,0.9571,0.59879,0.93763,0.92393,0.96938,0.93333,1.24484,0.27082,0.03967,0.52422,0.02569,0,0.00028218,0.00028218,0.00028218
