epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1497.03,1.67644,4.60095,0.61063,1.98714,1.73568,0.6342,0.63173,0.61734,0.29845,0.65642,0.62709,0.64691,0.39654,1.75895,2.09118,0.29981,1.57871,2.0013,0.000166513,0.000166513,0.066864
2,1315.45,1.50108,2.68294,0.46168,1.64081,1.56738,0.56853,0.81169,0.58709,0.31045,0.60381,0.77458,0.73185,0.56515,1.5309,1.0819,0.12159,1.2094,1.69054,0.00033098,0.00033098,0.0336951
3,2967.49,1.44296,2.28673,0.301,1.54822,1.52414,0.91249,0.81169,0.92033,0.5184,0.91992,0.82054,0.93457,0.77445,1.42223,0.78939,0.0757,1.00412,1.57817,0.000493248,0.000493248,0.000524027
4,3930.14,1.40095,2.05796,0.25582,1.49009,1.48834,0.88578,0.73191,0.88432,0.51806,0.88729,0.7718,0.90999,0.77472,1.34972,0.70355,0.06524,1.00494,1.51401,0.0004901,0.0004901,0.0004901
5,4849.79,1.3554,1.89525,0.23211,1.43899,1.45507,0.95908,0.82746,0.94395,0.57396,0.96123,0.82931,0.9482,0.81959,1.31628,0.6379,0.04662,0.92552,1.48904,0.0004868,0.0004868,0.0004868
6,5699.04,1.32095,1.75432,0.2133,1.39472,1.43137,0.70729,0.81725,0.77787,0.45583,0.7567,0.83859,0.86642,0.76077,1.3171,0.56625,0.03442,0.99805,1.4954,0.0004835,0.0004835,0.0004835
7,6542.22,1.29956,1.68262,0.20212,1.37228,1.41374,0.68323,0.80612,0.76052,0.45708,0.7074,0.80056,0.83118,0.74006,1.27389,0.52956,0.03071,0.9872,1.44917,0.0004802,0.0004802,0.0004802
8,7384.8,1.27743,1.60037,0.19302,1.33988,1.39426,0.65456,0.80891,0.74229,0.45537,0.69219,0.82606,0.84311,0.76384,1.24167,0.49265,0.03507,0.96515,1.43462,0.0004769,0.0004769,0.0004769
9,8227.49,1.25744,1.54414,0.18578,1.32222,1.38326,0.79547,0.81076,0.88832,0.54828,0.81725,0.82839,0.90792,0.82365,1.22907,0.46695,0.0322,0.93037,1.42956,0.0004736,0.0004736,0.0004736
10,9068.62,1.24157,1.48413,0.17946,1.30516,1.36885,0.86609,0.81169,0.9002,0.56227,0.89804,0.84416,0.93982,0.85469,1.21432,0.44209,0.02294,0.91903,1.41828,0.0004703,0.0004703,0.0004703
11,9910.96,1.22439,1.45273,0.17361,1.28836,1.35643,0.84789,0.78598,0.90385,0.56936,0.84576,0.80705,0.91643,0.8426,1.21523,0.43462,0.02322,0.89738,1.41689,0.000467,0.000467,0.000467
12,10849.4,1.21313,1.41193,0.16849,1.27697,1.3481,0.85526,0.80577,0.92326,0.5843,0.86807,0.8154,0.93155,0.85696,1.19916,0.40626,0.02603,0.86979,1.40255,0.0004637,0.0004637,0.0004637
13,11722.6,1.20297,1.37177,0.16311,1.25709,1.34277,0.80273,0.80519,0.89491,0.56834,0.8244,0.83395,0.91625,0.84478,1.19591,0.40202,0.02457,0.88688,1.38925,0.0004604,0.0004604,0.0004604
14,12578.7,1.19178,1.34831,0.16229,1.25849,1.3384,0.8556,0.77273,0.9072,0.57877,0.88793,0.8154,0.93437,0.86212,1.163,0.40016,0.01999,0.84721,1.38009,0.0004571,0.0004571,0.0004571
15,13488.3,1.18236,1.32608,0.15736,1.246,1.32991,0.83279,0.79128,0.90558,0.58067,0.8551,0.81725,0.92367,0.86273,1.16538,0.38058,0.01953,0.86527,1.36739,0.0004538,0.0004538,0.0004538
16,14398.5,1.17476,1.30055,0.15397,1.23563,1.32264,0.82808,0.83395,0.91252,0.57615,0.85082,0.85436,0.93133,0.86516,1.17415,0.37377,0.01912,0.85163,1.37344,0.0004505,0.0004505,0.0004505
17,15241.7,1.17209,1.296,0.15261,1.23007,1.32065,0.80176,0.8154,0.88977,0.56462,0.83569,0.83979,0.92099,0.85996,1.15256,0.36468,0.02104,0.86323,1.36518,0.0004472,0.0004472,0.0004472
18,16084,1.15838,1.25575,0.15048,1.22007,1.31354,0.79309,0.82375,0.8989,0.57448,0.83523,0.84787,0.92641,0.86648,1.14893,0.35564,0.01903,0.84574,1.36246,0.0004439,0.0004439,0.0004439
19,16924.5,1.15258,1.23136,0.14641,1.2098,1.30749,0.81397,0.82096,0.90135,0.57853,0.85303,0.85065,0.93166,0.87019,1.14595,0.35762,0.01808,0.83546,1.36329,0.0004406,0.0004406,0.0004406
20,17764.2,1.14529,1.22394,0.14539,1.20535,1.30134,0.80749,0.82096,0.89753,0.57369,0.84125,0.85529,0.92925,0.87257,1.13738,0.35204,0.01758,0.83944,1.3638,0.0004373,0.0004373,0.0004373
21,18603.1,1.13649,1.19059,0.14178,1.19753,1.29507,0.81757,0.83952,0.90283,0.57945,0.83618,0.86175,0.92795,0.87203,1.13103,0.34289,0.01757,0.83114,1.35371,0.000434,0.000434,0.000434
22,19443.2,1.1257,1.17188,0.14008,1.18784,1.29116,0.81384,0.81076,0.90277,0.57813,0.84979,0.84416,0.93068,0.87397,1.12985,0.34382,0.01643,0.82272,1.35498,0.0004307,0.0004307,0.0004307
23,20283.5,1.12486,1.17576,0.13937,1.18723,1.28823,0.77505,0.8256,0.88906,0.56635,0.81451,0.86764,0.92414,0.86791,1.12232,0.33953,0.01599,0.82876,1.34898,0.0004274,0.0004274,0.0004274
