epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1305.72,1.5182,3.43682,0.60367,1.60539,1.62976,0.84629,0.82004,0.90278,0.5227,0.86201,0.83859,0.91811,0.77368,1.35945,0.6725,0.27568,0.93526,1.53884,0.00999769,0.00333256,0.00999769,0.00333256,0.00999769,0.00333256,0.00999769,0.00333256
2,2342.83,1.44016,2.09389,0.35533,1.50781,1.53984,0.91062,0.80891,0.92583,0.53886,0.91063,0.82233,0.93606,0.80264,1.40824,0.6179,0.07617,0.93455,1.61364,0.0198657,0.0066219,0.0198657,0.0066219,0.0198657,0.0066219,0.0198657,0.0066219
3,3315.26,1.50102,2.19248,0.26408,1.60027,1.58726,0.63713,0.72635,0.6769,0.37347,0.67699,0.75696,0.78391,0.682,1.41618,0.65667,0.04584,1.11018,1.64432,0.0296017,0.00986724,0.0296017,0.00986724,0.0296017,0.00986724,0.0296017,0.00986724
4,4277.06,1.48078,2.08316,0.23414,1.57941,1.56697,0.72198,0.77328,0.81228,0.47816,0.72001,0.79499,0.84176,0.74724,1.34836,0.52672,0.0295,1.00547,1.55036,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,5238.24,1.39308,1.80805,0.20473,1.47759,1.49898,0.88171,0.78823,0.91966,0.55751,0.87922,0.79011,0.92211,0.84003,1.29779,0.46067,0.02182,0.9217,1.50758,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,6199.69,1.33634,1.62234,0.18871,1.40919,1.45604,0.73069,0.76252,0.85209,0.52517,0.76399,0.77365,0.87642,0.79961,1.2646,0.4158,0.02263,0.93716,1.48956,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,7169.53,1.29669,1.50184,0.17573,1.36243,1.42759,0.92052,0.75603,0.90089,0.57555,0.94467,0.79194,0.93186,0.86774,1.21918,0.38904,0.02276,0.88859,1.44862,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,8141.08,1.26117,1.42221,0.16486,1.33037,1.40155,0.74838,0.77458,0.85477,0.52877,0.80995,0.82624,0.91695,0.85451,1.20816,0.36965,0.01642,0.91207,1.43187,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,9104.52,1.24326,1.38828,0.16053,1.30201,1.38654,0.89252,0.78575,0.91659,0.57374,0.89639,0.81633,0.93777,0.87867,1.2146,0.34749,0.02041,0.85877,1.43159,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,10067.9,1.22404,1.32092,0.1558,1.27705,1.3738,0.76284,0.79777,0.88447,0.55097,0.80906,0.8256,0.91611,0.86359,1.18329,0.3385,0.017,0.8855,1.41549,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,11032.4,1.20378,1.27736,0.14745,1.25981,1.35744,0.82867,0.782,0.90223,0.56778,0.84754,0.80612,0.92174,0.87426,1.16505,0.32466,0.01152,0.85583,1.40077,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,11995,1.1845,1.2301,0.14522,1.24414,1.34757,0.8266,0.79155,0.90489,0.57385,0.86924,0.84483,0.93734,0.88952,1.14098,0.31606,0.01602,0.83882,1.37992,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,12957.5,1.17078,1.2046,0.14181,1.22612,1.3358,0.83927,0.82346,0.92845,0.59226,0.85999,0.84137,0.9378,0.89146,1.14389,0.3005,0.01378,0.80883,1.38522,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,13919.1,1.16264,1.16221,0.13613,1.21495,1.33017,0.80311,0.83488,0.91713,0.58497,0.84425,0.86988,0.93639,0.88732,1.1375,0.30083,0.01431,0.81963,1.3794,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,14882.8,1.1476,1.14198,0.13499,1.20161,1.32197,0.83174,0.82004,0.92598,0.59074,0.86095,0.84972,0.94449,0.89708,1.12967,0.2968,0.0144,0.7964,1.36178,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,15848.9,1.1395,1.13064,0.13295,1.19971,1.31535,0.82192,0.81447,0.9221,0.58843,0.86739,0.84416,0.94574,0.90317,1.12806,0.29301,0.01188,0.79253,1.37052,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,16811.5,1.1279,1.10661,0.13097,1.18211,1.30734,0.78884,0.83171,0.91244,0.58141,0.84455,0.87192,0.94192,0.8998,1.11363,0.28134,0.01136,0.78797,1.35947,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,17776.2,1.11636,1.07452,0.12763,1.18034,1.30107,0.8209,0.8256,0.92456,0.59285,0.85022,0.87937,0.94394,0.90311,1.11074,0.27603,0.01168,0.77414,1.36062,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,18743.9,1.10923,1.06435,0.1265,1.16971,1.29555,0.79859,0.82391,0.91719,0.58693,0.84139,0.88574,0.94263,0.89993,1.10076,0.27846,0.01228,0.76688,1.35239,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,19709.6,1.1116,1.05016,0.12263,1.16345,1.29156,0.78457,0.82095,0.90637,0.58463,0.82927,0.87409,0.937,0.89763,1.0932,0.27197,0.01133,0.76499,1.34741,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,20676.4,1.09951,1.05032,0.12328,1.15599,1.28808,0.76478,0.83024,0.90339,0.58326,0.81922,0.87848,0.9343,0.89832,1.0878,0.27163,0.00999,0.75623,1.34404,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,21643.4,1.08558,1.02501,0.12155,1.14779,1.27894,0.76626,0.83022,0.9026,0.58053,0.8199,0.87384,0.9331,0.8971,1.0872,0.27035,0.00948,0.7527,1.34123,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,22609.3,1.08026,1.01038,0.11992,1.14214,1.27621,0.76244,0.82746,0.90385,0.58437,0.81852,0.87384,0.93553,0.8983,1.08483,0.26735,0.01081,0.74848,1.33995,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,23575.7,1.075,0.99628,0.1185,1.13522,1.26868,0.76308,0.82096,0.90465,0.58399,0.81718,0.86735,0.93488,0.89785,1.08605,0.26372,0.01081,0.75288,1.3416,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,24540.6,1.0721,0.99358,0.11622,1.12785,1.26672,0.75951,0.82375,0.9029,0.58365,0.81718,0.87106,0.93603,0.89844,1.08427,0.26218,0.01104,0.74898,1.33961,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,25507.6,1.06939,0.99113,0.11579,1.12659,1.26639,0.75595,0.83041,0.90134,0.58377,0.81272,0.87758,0.9355,0.89827,1.08169,0.25958,0.01075,0.74743,1.33837,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,26472.2,1.06395,0.96824,0.11523,1.12162,1.26214,0.75444,0.83222,0.89811,0.58079,0.80577,0.87755,0.93443,0.89773,1.08036,0.25847,0.01045,0.745,1.33751,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,27439,1.05669,0.95295,0.11419,1.12001,1.25616,0.75258,0.83395,0.89892,0.58206,0.80662,0.87848,0.93413,0.89812,1.07761,0.25745,0.01022,0.74345,1.33678,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,28404.5,1.05375,0.9457,0.11282,1.11426,1.25707,0.75828,0.82934,0.90015,0.58305,0.80577,0.88129,0.93598,0.89937,1.07558,0.25642,0.00985,0.73965,1.33667,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,29370.8,1.04617,0.93681,0.11362,1.10984,1.24925,0.75727,0.8321,0.9002,0.58259,0.80664,0.87844,0.93578,0.89941,1.07437,0.25647,0.00938,0.73652,1.3367,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,30337.2,1.04256,0.9237,0.11201,1.10499,1.24756,0.74971,0.83673,0.89945,0.58546,0.79715,0.88404,0.93492,0.89885,1.07303,0.25628,0.00913,0.7338,1.33608,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,31304.7,1.04029,0.91641,0.11089,1.10481,1.24767,0.75105,0.83959,0.89979,0.58491,0.80132,0.89054,0.93413,0.89793,1.07276,0.25593,0.00889,0.73185,1.33696,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
